"FindingId","FindingType","Severity","ShareId","ItemId","FullPath","Identity","ObservedValue","PolicyValue","Message"
"246e224bc3914a14852a5c484dca05b2","LongPathOperationalPolicy","Warning","share-WINSERVER-SSEnt0001","9c4ac3d132264376b92a7c2e09637bb3","C:\ShareSurferEnterpriseLab\Enterprise\Share0001\Division02\Region02\Program02\Project02\Workstream02\LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL\MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM","","343","256","Full path exceeds the configured ShareSurfer operational migration policy threshold. This is separate from Azure Files hard limits."
"1c23f6965a4c458b98a9354badcd2cda","LongPathOperationalPolicy","Warning","share-WINSERVER-SSEnt0001","282ed559aa884980a34b637c304d3625","C:\ShareSurferEnterpriseLab\Enterprise\Share0001\Division02\Region02\Program02\Project02\Workstream02\LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL\MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM\sample.txt","","354","256","Full path exceeds the configured ShareSurfer operational migration policy threshold. This is separate from Azure Files hard limits."
"749f2dfbcefd457b8d0c393b448374c8","DeepExplicitAce","High","share-WINSERVER-SSEnt0001","765b63f377aa48609a489778497cd3d0","C:\ShareSurferEnterpriseLab\Enterprise\Share0001\Division02\Region02\Program02\Project02\Workstream02","LAB\SS-ENT-0001-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"24998a7526d14efbb3264a51d085586b","DeepExplicitAce","High","share-WINSERVER-SSEnt0002","c1133fe217a84ca3b6a7fd212db718e1","C:\ShareSurferEnterpriseLab\Enterprise\Share0002\Division03\Region03\Program03\Project03\Workstream03","LAB\SS-ENT-0002-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
