"EventId","Timestamp","Level","EventType","Source","ShareId","ItemId","Message","Detail"
"ID-87648319B529","ID-7C490F94B263","Info","ID-3EEC13DCA519","TargetPath","ID-24ADD11EC9B3","","ID-B719A1779D06","ID-F0AABC9140F5"
"ID-FE528D0174FC","ID-E04914D75545","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-685A3058033C","","ID-6D499E0CB99C","ID-B41A40048FD3"
"ID-0616EC4315E6","ID-8FA166F6B30C","Info","ID-3EEC13DCA519","TargetPath","ID-685A3058033C","","ID-F7DCB7F44545","ID-B41A40048FD3"
"ID-67954A1DC79B","ID-9B42DF37C846","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-7CBF69AC376A","","ID-55A0570E0C36","ID-7AD794DF4159"
"ID-22088FF55B9A","ID-32B59864BB08","Info","ID-3EEC13DCA519","TargetPath","ID-7CBF69AC376A","","ID-11F69D86889D","ID-7AD794DF4159"
"ID-534DBE951943","ID-3CCB26DB5A45","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-A87251964273","","ID-1E6461131A64","ID-F791F8E85F11"
"ID-5FFE9CFEA232","ID-FB9EF647E26C","Info","ID-3EEC13DCA519","TargetPath","ID-A87251964273","","ID-9C4551B48350","ID-F791F8E85F11"
"ID-B2355183167A","ID-2DE81FBB2AEC","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-831F51DD3CC8","","ID-F654EED9585C","ID-3E2C39C8FBF9"
"ID-F11ABC55870C","ID-4F29AA0FCA40","Info","ID-3EEC13DCA519","TargetPath","ID-831F51DD3CC8","","ID-3F59B427D54F","ID-3E2C39C8FBF9"
"ID-2FCF882993CF","ID-CF80445B1006","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-3E737AE31037","","ID-2EB93C0FC51F","ID-360AA1B9E36E"
"ID-191B9C12F758","ID-8C4411FF45AB","Info","ID-3EEC13DCA519","TargetPath","ID-3E737AE31037","","ID-BC1B7C8394AB","ID-360AA1B9E36E"
"ID-219E5E7418D1","ID-41230ECD0871","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-14C8A54E7E2F","","ID-0DA2A92D9092","ID-29B4A3792F94"
"ID-3F4A6B293DE5","ID-F987A9742BEF","Info","ID-3EEC13DCA519","TargetPath","ID-14C8A54E7E2F","","ID-BAA6A8FDB6D3","ID-29B4A3792F94"
"ID-33B73BDF2614","ID-072E7605E9D6","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-5FD55FA7C962","","ID-92BFB4A89229","ID-E7847F279139"
"ID-6F3B013FB6FD","ID-6823A81AEDBF","Info","ID-3EEC13DCA519","TargetPath","ID-5FD55FA7C962","","ID-995D0967953F","ID-E7847F279139"
"ID-E8AF5077BA7C","ID-247F124D7064","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-7112513D9FC4","","ID-5D9796B9BBFD","ID-495CB54CDEE5"
"ID-A5A18D08133F","ID-52224A682CE7","Info","ID-3EEC13DCA519","TargetPath","ID-7112513D9FC4","","ID-3DF22000A8D2","ID-495CB54CDEE5"
"ID-8F39D572CB65","ID-18B6E5BD54BB","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-2788FFE1310D","","ID-D9749F766DDF","ID-CB325D882E09"
"ID-2E448CD2EFBD","ID-596B877E0886","Info","ID-3EEC13DCA519","TargetPath","ID-2788FFE1310D","","ID-D32DF20FC92F","ID-CB325D882E09"
"ID-86F3B51F8526","ID-239328AA4791","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-494D91E2F01C","","ID-806156B6E1B8","ID-283D6EDAF70C"
"ID-2A22D64F4EC5","ID-2A8BAA179696","Info","ID-3EEC13DCA519","TargetPath","ID-494D91E2F01C","","ID-9369F96DB099","ID-283D6EDAF70C"
"ID-BD30FF3F7107","ID-A21E4EFDAC32","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-1A5FF23A240B","","ID-A3F014E4F46F","ID-C3A7729CF67C"
"ID-F3028ABEE300","ID-0688719578C7","Info","ID-3EEC13DCA519","TargetPath","ID-1A5FF23A240B","","ID-3127A6E977FE","ID-C3A7729CF67C"
"ID-0967DE105588","ID-3F2DD00AB7AC","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-E29B62928EAC","","ID-277E0709FFCF","ID-BFECA7828EE3"
"ID-53F28174F560","ID-B02D56ECC4F3","Info","ID-3EEC13DCA519","TargetPath","ID-E29B62928EAC","","ID-8F4D2B232EB3","ID-BFECA7828EE3"
"ID-280A236BB6F0","ID-EC232CB07A2F","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-705132FBB983","","ID-4798B5ABA837","ID-D2249F2A9DF3"
"ID-F78E6FAB1673","ID-D168EE5AD53C","Info","ID-3EEC13DCA519","TargetPath","ID-705132FBB983","","ID-59B67672846A","ID-D2249F2A9DF3"
"ID-E4202DA4030A","ID-9B076DB31600","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-A666111AFFA0","","ID-EEAF430B2DDE","ID-B33EB707C88E"
"ID-79898C351D5C","ID-9BBC642A9E3F","Info","ID-3EEC13DCA519","TargetPath","ID-A666111AFFA0","","ID-1E9BE8C1FCE6","ID-B33EB707C88E"
"ID-70A81378CFB2","ID-313FA939451F","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-C8EF6513690C","","ID-9E4D8B10D6D2","ID-2724EDA964C6"
"ID-0922064E51C7","ID-313FA939451F","Info","ID-3EEC13DCA519","TargetPath","ID-C8EF6513690C","","ID-8680CD067AB4","ID-2724EDA964C6"
"ID-4130AEDF0722","ID-B7F5FA1461B6","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-9E17DCD4E36F","","ID-0A0DBA76AB2F","ID-70F110451A43"
"ID-80B65FDA658D","ID-3D139E2B2841","Info","ID-3EEC13DCA519","TargetPath","ID-9E17DCD4E36F","","ID-B5CBB051555D","ID-70F110451A43"
"ID-9B21347B26B7","ID-5B6699C7BE65","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-308E49FCD84D","","ID-5EBA7B2889E0","ID-19E501E16765"
"ID-B5ACFB1023B4","ID-6E072A9D5986","Info","ID-3EEC13DCA519","TargetPath","ID-308E49FCD84D","","ID-0F125F275F8B","ID-19E501E16765"
"ID-B86089ACE090","ID-00FC9A1A0598","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-F3A6F3B8F654","","ID-C6F94D2B4D76","ID-DE9D02F9530E"
"ID-24B197512B48","ID-6CE118E40466","Info","ID-3EEC13DCA519","TargetPath","ID-F3A6F3B8F654","","ID-D174EFCD8092","ID-DE9D02F9530E"
"ID-C4C79C4A76A6","ID-E29B7853E993","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-776229634114","","ID-97B20C5EAA23","ID-F3A8FFCE29A0"
"ID-5D66C153C99E","ID-3685BBF78AAA","Info","ID-3EEC13DCA519","TargetPath","ID-776229634114","","ID-797EE64EBBC3","ID-F3A8FFCE29A0"
"ID-9B185955B3D6","ID-FD81CF1D843F","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-8390A3B043AA","","ID-D5F6D9EF3BB1","ID-43B7DB55A53A"
"ID-A4CAF2EC8C94","ID-44057C06D6D8","Info","ID-3EEC13DCA519","TargetPath","ID-8390A3B043AA","","ID-6586F7C8E395","ID-43B7DB55A53A"
"ID-DDFADDEF58CC","ID-204C93C0EC5F","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-E87EF3CC3122","","ID-4A3A074FBCB5","ID-B7EB5EC1A959"
"ID-06CF501742CC","ID-BD0042744D86","Info","ID-3EEC13DCA519","TargetPath","ID-E87EF3CC3122","","ID-5B0FBBC06800","ID-B7EB5EC1A959"
"ID-F693EAA365BF","ID-AA296B807D30","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-0CE178E955F6","","ID-B49DE0B964DB","ID-A1C3D61D51DC"
"ID-46E899931020","ID-C0652D85751F","Info","ID-3EEC13DCA519","TargetPath","ID-0CE178E955F6","","ID-259C21630DF5","ID-A1C3D61D51DC"
"ID-830D79679317","ID-F673320E13C0","Info","ID-A969F7BEC0AF","Get-SmbShare","ID-C134A27B34F9","","ID-02C33597054E","ID-B7B4BB934C5D"
