"IssueNumber","BodyFile","Status","Command","PostedUrl","ReadbackVerified","Detail"
"1","docs/lab-evidence/windows-ad-enterprise-20260605-101639/20260605-101639/refreshed-evidence/issue-comments/issue-1-lab-fixture-live-proof.md","DryRun","gh issue comment 1 --repo jonathanweinberg/ShareSurfer --body-file ""docs/lab-evidence/windows-ad-enterprise-20260605-101639/20260605-101639/refreshed-evidence/issue-comments/issue-1-lab-fixture-live-proof.md""","","False","Use -Post to publish this comment."
"3","docs/lab-evidence/windows-ad-enterprise-20260605-101639/20260605-101639/refreshed-evidence/issue-comments/issue-3-scanner-live-proof.md","DryRun","gh issue comment 3 --repo jonathanweinberg/ShareSurfer --body-file ""docs/lab-evidence/windows-ad-enterprise-20260605-101639/20260605-101639/refreshed-evidence/issue-comments/issue-3-scanner-live-proof.md""","","False","Use -Post to publish this comment."
"5","docs/lab-evidence/windows-ad-enterprise-20260605-101639/20260605-101639/refreshed-evidence/issue-comments/issue-5-identity-group-live-proof.md","DryRun","gh issue comment 5 --repo jonathanweinberg/ShareSurfer --body-file ""docs/lab-evidence/windows-ad-enterprise-20260605-101639/20260605-101639/refreshed-evidence/issue-comments/issue-5-identity-group-live-proof.md""","","False","Use -Post to publish this comment."
"6","docs/lab-evidence/windows-ad-enterprise-20260605-101639/20260605-101639/refreshed-evidence/issue-comments/issue-6-dashboard-live-proof.md","DryRun","gh issue comment 6 --repo jonathanweinberg/ShareSurfer --body-file ""docs/lab-evidence/windows-ad-enterprise-20260605-101639/20260605-101639/refreshed-evidence/issue-comments/issue-6-dashboard-live-proof.md""","","False","Use -Post to publish this comment."
