"FindingId","FindingType","Severity","ShareId","ItemId","FullPath","Identity","ObservedValue","PolicyValue","Message"
"d4d97aa2759d4a75841fd27fa09c0fa9","LongPathOperationalPolicy","Warning","share-WINSERVER-SSEnt0001","6968a0518de744c39888123677acb2d8","C:\ShareSurferEnterpriseLab\Enterprise\Share0001\Division02\Region02\Program02\Project02\Workstream02\LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL\MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM","","343","256","Full path exceeds the configured ShareSurfer operational migration policy threshold. This is separate from Azure Files hard limits."
"7e1d2ccc0f664a339bd20e64f538ea47","LongPathOperationalPolicy","Warning","share-WINSERVER-SSEnt0001","f98ab3e097914a0782976e998722f68d","C:\ShareSurferEnterpriseLab\Enterprise\Share0001\Division02\Region02\Program02\Project02\Workstream02\LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL\MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM\sample.txt","","354","256","Full path exceeds the configured ShareSurfer operational migration policy threshold. This is separate from Azure Files hard limits."
"fa4c52e94743414a9417ff8d3b3678a9","DeepExplicitAce","High","share-WINSERVER-SSEnt0001","27301720f19643f48de7cafbffeeece5","C:\ShareSurferEnterpriseLab\Enterprise\Share0001\Division02\Region02\Program02\Project02\Workstream02","LAB\SS-ENT-0001-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"f55be5a3d63742e984bb41335450677f","DeepExplicitAce","High","share-WINSERVER-SSEnt0002","a3ee69b73fd549698bc9e9b31a4c2e10","C:\ShareSurferEnterpriseLab\Enterprise\Share0002\Division03\Region03\Program03\Project03\Workstream03","LAB\SS-ENT-0002-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
